,anomaly_score
645,0.21967843969821862
646,0.22298547878736014
647,0.22359999886515056
648,0.4282849258014706
649,0.136667151974774
650,0.16361040854038897
651,0.3854553880638123
652,0.19745948998874369
653,0.20559203013329577
654,0.187605155283187
655,0.22487606066943785
656,0.17600834621299277
657,0.20518283866290893
658,0.19313950103439106
659,0.20019305519981706
660,0.21219991132077629
661,0.2010005516229733
662,0.2008046473045385
663,0.5919924378975616
664,0.5189081641085634
665,0.7180309321960946
666,0.37813746305785556
667,0.7011501945120534
668,0.38917061617969145
669,0.22190006318871572
670,0.24697106863373394
671,0.49059178408093795
672,0.4399150698143053
673,0.3335381111242458
674,0.29498165989986835
675,0.2794939038569911
676,0.31701732606577326
677,0.384559551714743
678,0.21960687817926938
679,0.2918168321959752
680,0.29100948973876084
681,0.2922920248069471
682,0.2933792069467227
683,0.30429393384852643
684,0.30343726841170876
685,0.19979672722936037
686,0.20439760376759847
687,0.20313513051034093
688,0.1620945212388165
689,0.18435324039209347
690,0.2222465591537878
691,0.1608573243024343
692,0.14415215258798525
693,0.23742003049795574
694,0.31063417793046283
695,0.14080521121728506
696,0.3965690679592795
697,0.13726517099651347
698,0.2061250764354697
699,0.2748447718069328
700,0.1670508415284092
701,0.5219805492965622
702,0.4576746781132508
703,0.4023825109949072
704,0.5619105054410498
705,0.28681801729096135
707,0.20547917066799265
708,0.2584799674968852
709,0.4200980359909616
710,0.32018556693245664
711,0.5231559535158472
712,0.39261541998642935
713,0.3669623699567368
714,0.10978386102358682
715,0.2040619430682088
716,0.25832776705826727
717,0.23065555555159636
718,0.17682881767235262
719,0.13738675632407701
720,0.1387445581344414
721,0.21660985095428525
722,0.20884856132474283
723,0.2674485455099919
724,0.2891254287295412
725,0.3045189408236991
726,0.294188654134676
727,0.309741921844378
728,0.21700919096442056
729,0.1505648120891929
730,0.27282215358278905
732,0.1635577520831846
734,0.20097330871800717
735,0.29705355388133975
736,0.39466934067782655
737,0.20552562660697862
738,0.2602610388620409
739,0.247510057241153
741,0.43699913987301997
742,0.37244804750219374
743,0.7489322394763489
744,0.35507768769870246
745,0.342433192590328
746,0.35636993307429576
747,0.17082402905134586
748,0.16728027951402458
749,0.1197685340818355
750,0.1629383894074079
751,0.21186981416412934
752,0.29868897929715377
753,0.30160855548947
754,0.2727318744466224
755,0.3052461494548757
756,0.2950822810446754
757,0.295585444746266
758,0.30172133151623437
759,0.2685488531753748
760,0.27834150960829046
761,0.24225431323764718
762,0.24221977303375103
763,0.2421761874575406
764,0.24923972964360577
